echotime,cbox1_coil1_c1,cbox1_coil1_c1c2serial,cbox1_coil1_c2,cbox1_coil1_c3,cbox1_coil1_transformer,cbox1_coil2_c1,cbox1_coil2_c1c2serial,cbox1_coil2_c2,cbox1_coil2_c3,cbox1_coil2_transformer,cbox1_diplexer,cbox1_fg_freq,cbox1_power_divider,cbox1_reg_amp,cbox2_coil1_c1,cbox2_coil1_c1c2serial,cbox2_coil1_c2,cbox2_coil1_c3,cbox2_coil1_transformer,cbox2_coil2_c1,cbox2_coil2_c1c2serial,cbox2_coil2_c2,cbox2_coil2_c3,cbox2_coil2_transformer,cbox2_diplexer,cbox2_fg_freq,cbox2_power_divider,cbox2_reg_amp,hrf1,hrf2,hsf1,hsf2,psd_chop_freq,psd_timebin_freq,sf1,sf2
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,1000,16000,0,0
0.158,61,1,11,0,0,0,0,0,0,0,0,378000,0,1.6,1,1,9,0,1,0,0,0,0,0,0,455651,0,1.6,8.05,9.66,0.3,0.3,155302,2484832,3,2.65
0.231,1,1,6,0,1,0,0,0,0,0,0,552000,0,1.6,1,1,4,0,1,0,0,0,0,0,0,665395,0,1.4,11.67,14.15,0,0,226790,3628640,2.4,2.4
0.075,1,0,13,0,0,0,0,0,0,0,0,180000,0,1.6,63,1,31,0,0,0,0,0,0,0,0,216977,0,1.6,3.8,4.58,1.1,0.9,73954,1183264,1.7,1.7
0.201,56,1,7,0,1,0,0,0,0,0,0,480000,0,1.6,0,1,5,0,1,0,0,0,0,0,0,578604,0,1.1,10.14,12.3,1.1,3,197208,3155328,3,3
0.377,0,1,2,0,1,0,0,0,0,0,0,900000,0,0.7,0,1,1,0,1,0,0,0,0,0,1,1084884,0,0.1,21.606,26.602,0,0,369767.442,5916279.07,0,0
0.093,0,1,31,0,0,0,0,0,0,0,0,221400,0,1.6,63,1,22,0,0,0,0,0,0,0,0,266881,0,1.6,4.7,5.6,1.5,1.5,90962,1455392,1.4,2.8
0.268,55,1,4,0,1,0,0,0,0,0,0,639000,0,0.8,0,1,3,0,1,0,0,0,0,0,0,770267,0,0.4,15.34,18.887,0,0,262534.884,4200558.14,0,0
0.025,10,0,1,0,0,2,0,31,0,0,0,60000,0,1.4,7,0,9,0,0,0,0,0,0,0,0,72326,0,1.4,1.44,1.773,0.6,0.75,24652,394432,0.9,0.9
0.122,60,1,18,0,0,0,0,0,0,0,0,291000,0,1.6,0,1,13,0,0,0,0,0,0,0,0,350779,0,1.6,6.17,7.45,0,0,119558,1912928,3,3
0.304,55,1,3,0,1,0,0,0,0,0,0,726000,0,0.8,55,1,2,0,1,0,0,0,0,0,0,875140,0,0.4,17.429,21.459,0,0,298279.07,4772465.116,0,0
0.049,2,0,31,0,0,2,0,31,0,0,0,117000,0,1.6,2,1,0,0,0,0,0,0,0,0,0,141035,0,1.6,2.4,2.96,0.4,0,48070,769120,1.1,1.4
0.06,2,1,0,0,0,0,0,0,0,0,0,143100,0,1.6,1,0,17,0,0,0,0,0,0,0,0,172497.5,0,1.6,3.06,3.656,0.4,0.6,58795,940720,1.5,1.6
0.34,63,1,2,0,1,0,0,0,0,0,0,813000,0,0.7,63,1,2,0,1,0,0,0,0,0,0,980012,0,0.1,19.517,24.03,0,0,334023.256,5344372.093,0,0
0.195,1,1,8,0,1,0,0,0,0,0,0,465000,0,1.6,1,1,6,0,1,0,0,0,0,0,0,560523,0,1.5,9.83,11.9,2.7,1.7,191046,3056736,2.6,2.7
0.0127,34,0,1,0,0,33,0,22,0,0,0,30000,0,1.6,26,0,1,0,0,0,0,0,0,0,0,36163,0,1.6,0.72,0.89,0,0,12326,197216,0.95,1.15
