capacity,c1_box_index,c2_box_index,c3_box_index,connection_type
0.0,62,0,0,1
4.4e-11,62,0,1,1
6.6e-11,62,0,2,1
1.1000000000000001e-10,62,0,3,1
9.400000000000001e-11,62,0,4,1
1.3800000000000001e-10,62,0,5,1
1.6000000000000002e-10,62,0,6,1
2.0400000000000002e-10,62,0,7,1
2.0000000000000003e-10,62,0,8,1
2.44e-10,62,0,9,1
2.66e-10,62,0,10,1
3.1e-10,62,0,11,1
2.9400000000000007e-10,62,0,12,1
3.38e-10,62,0,13,1
3.6e-10,62,0,14,1
4.4000000000000003e-10,0,1,0,0
4.0000000000000004e-11,0,1,1,0
5.7391304347826085e-11,0,1,2,0
8.8e-11,0,1,3,0
7.745318352059927e-11,0,1,4,0
1.0505190311418686e-10,0,1,5,0
1.1733333333333334e-10,0,1,6,0
1.3937888198757764e-10,0,1,7,0
1.3750000000000002e-10,0,1,8,0
1.569590643274854e-10,0,1,9,0
1.6577903682719546e-10,0,1,10,0
1.8186666666666667e-10,0,1,11,0
1.762397820163488e-10,0,1,12,0
1.9115681233933162e-10,0,1,13,0
1.98e-10,0,1,14,0
9.4e-10,0,2,0,0
4.2032520325203256e-11,0,2,1,0
6.16699801192843e-11,0,2,2,0
9.847619047619049e-11,0,2,3,0
8.545454545454546e-11,0,2,4,0
1.203339517625232e-10,0,2,5,0
1.3672727272727276e-10,0,2,6,0
1.6762237762237763e-10,0,2,7,0
1.6491228070175442e-10,0,2,8,0
1.9371621621621621e-10,0,2,9,0
2.0733001658374793e-10,0,2,10,0
2.3312e-10,0,2,11,0
2.2395461912479746e-10,0,2,12,0
2.486071987480438e-10,0,2,13,0
2.603076923076923e-10,0,2,14,0
1.38e-09,0,3,0,0
4.264044943820225e-11,0,3,1,0
6.298755186721992e-11,0,3,2,0
1.018791946308725e-10,0,3,3,0
8.80054274084125e-11,0,3,4,0
1.2545454545454546e-10,0,3,5,0
1.433766233766234e-10,0,3,6,0
1.7772727272727275e-10,0,3,7,0
1.746835443037975e-10,0,3,8,0
2.073399014778325e-10,0,3,9,0
2.2301336573511545e-10,0,3,10,0
2.531360946745562e-10,0,3,11,0
2.423655913978495e-10,0,3,12,0
2.7150174621653087e-10,0,3,13,0
2.8551724137931036e-10,0,3,14,0
2e-09,0,4,0,0
4.305283757338553e-11,0,4,1,0
6.389157792836399e-11,0,4,2,0
1.042654028436019e-10,0,4,3,0
8.978032473734481e-11,0,4,4,0
1.2909260991580918e-10,0,4,5,0
1.4814814814814817e-10,0,4,6,0
1.851179673321234e-10,0,4,7,0
1.8181818181818185e-10,0,4,8,0
2.174688057040998e-10,0,4,9,0
2.3477493380406e-10,0,4,10,0
2.683982683982684e-10,0,4,11,0
2.563208369659983e-10,0,4,12,0
2.891360136869119e-10,0,4,13,0
3.0508474576271185e-10,0,4,14,0
2.4400000000000003e-09,0,5,0,0
4.32206119162641e-11,0,5,1,0
6.426177174780528e-11,0,5,2,0
1.0525490196078432e-10,0,5,3,0
9.051302288871351e-11,0,5,4,0
1.3061287820015516e-10,0,5,5,0
1.5015384615384616e-10,0,5,6,0
1.8826021180030257e-10,0,5,7,0
1.8484848484848487e-10,0,5,8,0
2.218181818181818e-10,0,5,9,0
2.3985218033998524e-10,0,5,10,0
2.7505454545454544e-10,0,5,11,0
2.623847841989759e-10,0,5,12,0
2.9687544996400287e-10,0,5,13,0
3.137142857142857e-10,0,5,14,0
2.94e-09,0,6,0,0
4.335120643431636e-11,0,6,1,0
6.455089820359283e-11,0,6,2,0
1.0603278688524591e-10,0,6,3,0
9.108767303889257e-11,0,6,4,0
