F_0,,,,C,,L
32100,,,,988.4,,2.48712833563094E-05
32600,,,,944.4,,2.52377026039433E-05
36500,,,,802.4,,2.36954165667849E-05
37500,,,,734.44,,2.45257411075988E-05
40100,,,,651.84,,2.4166360201447E-05
42500,,,,588,,2.38498587216627E-05
44200,,,,539,,2.4055129157137E-05
47000,18,1,,484.44,,2.36703830276614E-05
49500,16,8,,444.4,,2.32625087135068E-05
49700,16,6,,443,,2.31485873530969E-05
54600,14,25,,352.24,,2.41222069518694E-05
58500,13,9,,319,,2.32027030391974E-05
59800,12,9,,299,,2.36901298211201E-05
64200,10,24,,258,,2.38205198346669E-05
67400,9,25,0,,,#DIV/0!
78700,7,26,0,,,#DIV/0!
82400,7,1,0,,,#DIV/0!
86100,6,9,0,,,#DIV/0!
91100,5,25,0,,,#DIV/0!
95200,5,7,0,,,#DIV/0!
100500,4,20,0,,,#DIV/0!
103800,4,9,0,,,#DIV/0!
104300,4,7,0,97.4,,#BEZUG!
117500,3,25,0,,,#DIV/0!
123200,3,13,0,,,#DIV/0!
127400,3,5,0,,,#DIV/0!
135000,2,26,0,,,#DIV/0!
140500,2,17,0,,,#DIV/0!
147400,2,9,0,,,#DIV/0!
150800,2,6,0,,,#DIV/0!
155400,2,0,0,,,#DIV/0!
173000,1,30,0,,,#DIV/0!
179800,1,25,0,,,#DIV/0!
186200,1,21,0,,,#DIV/0!
194200,1,16,0,,,2.39063582421847E-05
204200,1,12,0,,,#DIV/0!
217000,1,7,0,,,#DIV/0!
227800,1,3,0,,,#DIV/0!
263400,8,30,1,,,#DIV/0!
278000,5,28,1,,,#DIV/0!
292900,6,24,1,,,#DIV/0!
307500,2,27,1,,,#DIV/0!
325000,4,20,1,,,#DIV/0!
341000,1,31,1,,,#DIV/0!
349500,1,28,1,,,#DIV/0!
371400,15,15,1,,,#DIV/0!
393000,22,13,1,,,#DIV/0!
407000,13,12,1,,,#DIV/0!
428700,11,11,1,,,#DIV/0!
444600,10,10,1,,,#DIV/0!
466500,11,9,1,,,#DIV/0!
487000,10,8,1,,,#DIV/0!
494800,1,10,1,,,1.03462177632871E-05
549400,13,7,1,,,#DIV/0!
583100,23,6,1,,,#DIV/0!
585900,10,6,1,,,#DIV/0!
638500,13,5,1,,,#DIV/0!
642600,4,5,1,,,#DIV/0!
695700,12,4,1,,,#DIV/0!
708400,2,4,1,,,#DIV/0!
724800,1,4,1,,,#DIV/0!
820500,62,3,1,,,#DIV/0!
832300,2,3,1,,,#DIV/0!
845600,1,3,1,,,#DIV/0!
960400,55,2,1,,,#DIV/0!
980400,1,2,1,,,#DIV/0!
980400,1,2,1,,,#DIV/0!
977700,1,2,1,,,#DIV/0!
977200,1,2,1,,,#DIV/0!
1281000,55,1,1,,,#DIV/0!
1281000,55,1,1,,,#DIV/0!
1285000,59,1,1,,,#DIV/0!
1330700,56,1,1,,,#DIV/0!
,,,,,,#DIV/0!
,,,,,,#DIV/0!
,,,,,,#DIV/0!
,,,,,,#DIV/0!
,,,,,,#DIV/0!
,,,,,,#DIV/0!
,,,,,,#DIV/0!
,,,,,,#DIV/0!
,,,,,,#DIV/0!
,,,,,,#DIV/0!
,,,,,,#DIV/0!
1281790,59 1 1,,,0.438,,3.51992271726528E-05
