echotime,cbox1_coil1_c1,cbox1_coil1_c1c2serial,cbox1_coil1_c2,cbox1_coil1_c3,cbox1_coil1_transformer,cbox1_coil2_c1,cbox1_coil2_c1c2serial,cbox1_coil2_c2,cbox1_coil2_c3,cbox1_coil2_transformer,cbox1_diplexer,cbox1_fg_freq,cbox1_power_divider,cbox1_reg_amp,cbox2_coil1_c1,cbox2_coil1_c1c2serial,cbox2_coil1_c2,cbox2_coil1_c3,cbox2_coil1_transformer,cbox2_coil2_c1,cbox2_coil2_c1c2serial,cbox2_coil2_c2,cbox2_coil2_c3,cbox2_coil2_transformer,cbox2_diplexer,cbox2_fg_freq,cbox2_power_divider,cbox2_reg_amp,hrf1,hrf2,hsf1,hsf2,psd_chop_freq,psd_timebin_freq,sf1,sf2
0.118,31.0,0,30.0,0.0,0,0,0,0,0,0,0,30000,0,1.6,24.0,0,16.0,0.0,0,0,0,0,0,0,0,36000.0,0,1.6,0.7972027972027972,0.9566433566433566,0.4,0.4,12000.0,192000.0,1.1,1.1
0.141,24.0,0,16.0,0.0,0,0,0,0,0,0,0,36000.0,0,1.6,18.0,0,0.0,0.0,0,0,0,0,0,0,0,43200.0,0,1.6,0.9566433566433566,1.147972027972028,0.4,0.4,14400.0,230400.0,1.1,1.1
0.169,18.0,0,0.0,0.0,0,0,0,0,0,0,0,43200.0,0,1.6,14.0,0,26.0,0.0,0,0,0,0,0,0,0,51840.0,0,1.6,1.147972027972028,1.3775664335664335,0.4,0.4,17280.0,276480.0,1.1,1.1
0.203,14.0,0,26.0,0.0,0,0,0,0,0,0,0,51840.0,0,1.6,10.0,0,21.0,0.0,0,0,0,0,0,0,0,62208.0,0,1.6,1.3775664335664335,1.6530797202797203,0.4,0.4,20736.0,331776.0,1.1,1.1
0.244,10.0,0,21.0,0.0,0,0,0,0,0,0,0,62208.0,0,1.6,7.0,0,30.0,0.0,0,0,0,0,0,0,0,74650.0,0,1.6,1.6530797202797203,1.983695664335664,0.4,0.4,24883.0,398131.0,1.1,1.1
0.293,7.0,0,30.0,0.0,0,0,0,0,0,0,0,74650.0,0,1.6,5.0,0,30.0,0.0,0,0,0,0,0,0,0,89580.0,0,1.6,1.983695664335664,2.380434797202797,0.4,0.4,29860.0,477757.0,1.1,1.1
0.351,5.0,0,30.0,0.0,0,0,0,0,0,0,0,89580.0,0,1.6,4.0,0,0.0,0.0,0,0,0,0,0,0,0,107495.0,0,1.6,2.380434797202797,2.8565217566433563,0.4,0.4,35832.0,573309.0,1.1,1.1
0.422,4.0,0,0.0,0.0,0,0,0,0,0,0,0,107495.0,0,1.6,3.0,0,2.0,0.0,0,0,0,0,0,0,0,128995.0,0,1.6,2.8565217566433563,3.4278261079720274,0.4,0.4,42998.0,687971.0,1.1,1.1
0.506,3.0,0,2.0,0.0,0,0,0,0,0,0,0,128995.0,0,1.6,2.0,0,3.0,0.0,0,0,0,0,0,0,0,154793.0,0,1.6,3.4278261079720274,4.113391329566433,0.4,0.4,51598.0,825565.0,1.1,1.1
0.607,2.0,0,3.0,0.0,0,0,0,0,0,0,0,154793.0,0,1.6,1.0,0,21.0,0.0,0,0,0,0,0,0,0,185752.0,0,1.6,4.113391329566433,4.936069595479719,0.4,0.4,61917.0,990678.0,1.1,1.1
0.729,1.0,0,21.0,0.0,0,0,0,0,0,0,0,185752.0,0,1.6,1.0,0,4.0,0.0,0,0,0,0,0,0,0,222903.0,0,1.6,4.936069595479719,5.923283514575662,0.4,0.4,74301.0,1188813.0,1.1,1.1
0.874,1.0,0,4.0,0.0,0,0,0,0,0,0,0,222903.0,0,1.6,7.0,1,30.0,0.0,0,0,0,0,0,0,0,267483.0,0,1.6,5.923283514575662,7.1079402174907935,0.4,0.4,89161.0,1426576.0,1.1,1.1
1.049,7.0,1,30.0,0.0,0,0,0,0,0,0,0,267483.0,0,1.6,12.0,1,19.0,0.0,0,0,0,0,0,0,0,320980.0,0,1.6,7.1079402174907935,8.529528260988952,0.4,0.4,106993.0,1711891.0,1.1,1.1
1.259,12.0,1,19.0,0.0,0,0,0,0,0,0,0,320980.0,0,1.6,9.0,1,14.0,0.0,0,0,0,0,0,0,0,385176.0,0,1.6,8.529528260988952,10.235433913186741,0.4,0.4,128392.0,2054270.0,1.1,1.1
1.511,9.0,1,14.0,0.0,0,0,0,0,0,0,0,385176.0,0,1.6,0.0,0,9.0,0.0,0,0,0,0,0,0,0,462211.0,0,1.6,10.235433913186741,12.282520695824088,0.4,0.4,154070.0,2465123.0,1.1,1.1
1.813,0.0,0,9.0,0.0,0,0,0,0,0,0,0,462211.0,0,1.6,5.0,1,7.0,0.0,0,0,0,0,0,0,0,554653.0,0,1.6,12.282520695824088,14.739024834988905,0.4,0.4,184884.0,2958148.0,1.1,1.1
2.175,5.0,1,7.0,0.0,0,0,0,0,0,0,0,554653.0,0,1.6,1.0,1,5.0,0.0,0,0,0,0,0,0,0,665583.0,0,1.6,14.739024834988905,17.686829801986683,0.4,0.4,221861.0,3549778.0,1.1,1.1
2.61,1.0,1,5.0,0.0,0,0,0,0,0,0,0,665583.0,0,1.6,0.0,0,3.0,0.0,0,0,0,0,0,0,0,798700.0,0,1.6,17.686829801986683,21.22419576238402,0.4,0.4,266233.0,4259733.0,1.1,1.1
3.132,0.0,0,3.0,0.0,0,0,0,0,0,0,0,798700.0,0,1.6,0.0,0,2.0,0.0,0,0,0,0,0,0,0,958440.0,0,1.6,21.22419576238402,25.469034914860824,0.4,0.4,319480.0,5111680.0,1.1,1.1
3.759,0.0,0,2.0,0.0,0,0,0,0,0,0,0,958440.0,0,1.6,0.0,0,1.0,0.0,0,0,0,0,0,0,0,1150128.0,0,1.6,25.469034914860824,30.56284189783299,0.4,0.4,383376.0,6134016.0,1.1,1.1
